EmployeeID,EmployeeName,Gender,Age,Department,JobRole,Education,HireDate,WeekStartDate,WeekEndDate,AttendanceDays,WorkingHours,PerformanceScore,OvertimeHours,LeaveDays,Attrition,Salary,ManagerRating,PromotionEligible,Location
E1036,Employee_37,Male,46,Marketing,Marketing Analyst,Diploma,2023-01-17,2025-09-15,2025-09-21,4,34,3,2,2,No,59853,2,No,Bangalore
E1037,Employee_38,Male,43,Admin,Office Assistant,Graduate,2020-05-20,2025-09-15,2025-09-21,5,46,1,8,2,No,62613,3,Yes,Pune
E1038,Employee_39,Male,40,HR,HR Executive,Post-Graduate,2018-07-19,2025-09-15,2025-09-21,5,37,5,9,2,No,62197,2,No,Pune
E1039,Employee_40,Female,31,Marketing,Brand Executive,Post-Graduate,2020-09-27,2025-09-15,2025-09-21,4,55,5,4,2,No,56498,3,No,Delhi
E1040,Employee_41,Male,36,Sales,Sales Executive,MBA,2021-08-30,2025-09-15,2025-09-21,3,51,4,3,1,Yes,50377,4,Yes,Bangalore
E1041,Employee_42,Male,27,HR,HR Manager,Post-Graduate,2018-02-27,2025-09-15,2025-09-21,5,34,5,9,0,Yes,55465,2,Yes,Hyderabad
E1042,Employee_43,Male,36,Sales,Sales Manager,Post-Graduate,2024-02-03,2025-09-15,2025-09-21,4,40,5,3,0,No,49244,2,Yes,Pune
E1043,Employee_44,Female,38,Finance,Accountant,MBA,2020-03-27,2025-09-15,2025-09-21,3,50,5,8,0,No,67704,5,Yes,Bangalore
E1044,Employee_45,Male,46,Marketing,Marketing Analyst,Post-Graduate,2019-11-25,2025-09-15,2025-09-21,3,32,5,7,2,Yes,72069,2,No,Pune
E1045,Employee_46,Male,35,Finance,Finance Analyst,Diploma,2018-10-26,2025-09-15,2025-09-21,5,35,3,6,1,Yes,74574,3,Yes,Hyderabad
E1046,Employee_47,Female,32,Operations,Operations Executive,Graduate,2023-05-23,2025-09-15,2025-09-21,5,40,4,10,1,No,26570,5,No,Hyderabad
E1047,Employee_48,Female,44,Operations,Operations Executive,Graduate,2020-07-30,2025-09-15,2025-09-21,4,31,3,2,2,No,77641,3,Yes,Pune
E1048,Employee_49,Female,29,HR,HR Executive,Graduate,2024-10-10,2025-09-15,2025-09-21,6,50,4,7,1,Yes,76044,5,Yes,Indore
E1049,Employee_50,Male,39,Finance,Accountant,Diploma,2018-11-16,2025-09-15,2025-09-21,4,33,2,10,1,Yes,38039,2,Yes,Pune
E1050,Employee_51,Male,27,HR,HR Executive,Diploma,2024-01-08,2025-09-15,2025-09-21,3,37,5,6,0,No,83907,3,Yes,Indore
E1051,Employee_52,Male,50,IT,Software Engineer,MBA,2020-03-10,2025-09-15,2025-09-21,6,54,5,1,0,Yes,42267,4,Yes,Hyderabad
E1052,Employee_53,Male,45,IT,Data Analyst,Post-Graduate,2021-12-05,2025-09-15,2025-09-21,5,50,5,1,2,Yes,34099,5,No,Pune
E1053,Employee_54,Female,23,Marketing,Brand Executive,MBA,2020-05-09,2025-09-15,2025-09-21,4,31,5,0,0,No,25919,1,No,Bangalore
E1054,Employee_55,Male,23,Admin,Admin Executive,Post-Graduate,2024-07-05,2025-09-15,2025-09-21,4,32,3,1,1,Yes,39886,1,No,Delhi
E1055,Employee_56,Male,41,IT,Data Analyst,Post-Graduate,2023-12-31,2025-09-15,2025-09-21,4,38,5,6,0,Yes,57088,1,Yes,Hyderabad
E1056,Employee_57,Male,36,IT,Support Engineer,Graduate,2018-08-14,2025-09-15,2025-09-21,3,43,1,8,1,No,81147,4,Yes,Pune
E1057,Employee_58,Female,22,HR,HR Manager,Diploma,2018-12-01,2025-09-15,2025-09-21,6,50,4,8,2,No,43192,1,No,Pune
E1058,Employee_59,Female,31,Operations,Supervisor,Post-Graduate,2021-04-21,2025-09-15,2025-09-21,6,34,3,8,0,Yes,82070,2,No,Hyderabad
E1059,Employee_60,Male,40,Marketing,Brand Executive,Graduate,2019-10-18,2025-09-15,2025-09-21,5,44,4,7,2,No,87998,1,Yes,Pune
E1060,Employee_61,Female,47,IT,Support Engineer,Diploma,2020-05-02,2025-09-15,2025-09-21,4,36,5,7,2,Yes,78299,5,No,Hyderabad
E1061,Employee_62,Male,31,Admin,Office Assistant,MBA,2021-07-03,2025-09-15,2025-09-21,5,39,5,2,0,Yes,85742,1,Yes,Delhi
E1062,Employee_63,Female,23,Finance,Finance Analyst,Post-Graduate,2022-06-29,2025-09-15,2025-09-21,6,31,3,1,0,No,41175,4,No,Hyderabad
E1063,Employee_64,Male,45,Operations,Supervisor,MBA,2021-06-17,2025-09-15,2025-09-21,6,54,3,8,2,Yes,72320,5,No,Chennai
E1064,Employee_65,Male,30,HR,HR Executive,MBA,2018-10-22,2025-09-15,2025-09-21,5,36,4,6,0,No,32326,4,No,Hyderabad
E1065,Employee_66,Female,33,Marketing,Brand Executive,Graduate,2020-12-30,2025-09-15,2025-09-21,6,52,2,2,2,No,49165,2,Yes,Mumbai
E1066,Employee_67,Female,23,Finance,Finance Analyst,MBA,2020-02-11,2025-09-15,2025-09-21,5,32,3,10,0,No,54790,3,Yes,Indore
E1067,Employee_68,Male,49,IT,Support Engineer,MBA,2024-06-06,2025-09-15,2025-09-21,4,46,1,2,0,Yes,52005,5,No,Bangalore
E1068,Employee_69,Female,41,Admin,Admin Executive,MBA,2024-04-27,2025-09-15,2025-09-21,6,55,4,9,2,Yes,38566,5,No,Bangalore
E1069,Employee_70,Female,30,Marketing,Marketing Analyst,Graduate,2019-07-15,2025-09-15,2025-09-21,5,47,1,1,1,No,63207,5,No,Pune
E1070,Employee_71,Female,28,Sales,Sales Manager,Post-Graduate,2021-01-04,2025-09-15,2025-09-21,3,38,5,7,0,Yes,61956,5,Yes,Pune
E1071,Employee_72,Male,24,Operations,Operations Executive,MBA,2019-06-03,2025-09-15,2025-09-21,3,45,3,1,2,Yes,72545,4,No,Mumbai
E1072,Employee_73,Female,47,IT,Data Analyst,Diploma,2021-06-19,2025-09-15,2025-09-21,6,47,1,1,1,No,61583,3,No,Chennai
E1073,Employee_74,Male,42,Operations,Operations Executive,Diploma,2020-12-14,2025-09-15,2025-09-21,4,55,4,1,0,No,74946,5,No,Chennai
E1074,Employee_75,Male,39,Marketing,Brand Executive,Diploma,2020-05-19,2025-09-15,2025-09-21,3,48,4,7,2,Yes,65243,3,No,Delhi
E1075,Employee_76,Female,25,Operations,Supervisor,Post-Graduate,2022-07-20,2025-09-15,2025-09-21,4,37,5,10,2,Yes,72406,4,No,Chennai
E1076,Employee_77,Female,49,IT,Software Engineer,MBA,2019-11-18,2025-09-15,2025-09-21,5,45,2,2,1,Yes,66327,2,No,Mumbai
E1077,Employee_78,Male,34,Finance,Finance Analyst,Post-Graduate,2019-12-21,2025-09-15,2025-09-21,6,43,2,3,1,Yes,26322,5,Yes,Pune
E1078,Employee_79,Female,30,Finance,Finance Analyst,Post-Graduate,2019-02-15,2025-09-15,2025-09-21,6,39,1,5,0,Yes,85568,3,No,Indore
E1079,Employee_80,Female,34,Operations,Supervisor,Graduate,2024-09-27,2025-09-15,2025-09-21,5,47,2,10,2,Yes,77890,3,Yes,Chennai
E1080,Employee_81,Female,49,IT,Data Analyst,Post-Graduate,2019-08-26,2025-09-15,2025-09-21,5,37,4,10,1,No,87676,3,Yes,Delhi
E1081,Employee_82,Male,38,Operations,Operations Executive,Post-Graduate,2022-07-24,2025-09-15,2025-09-21,3,46,1,3,2,No,47125,4,No,Mumbai
E1082,Employee_83,Female,26,Marketing,Marketing Analyst,Post-Graduate,2019-09-28,2025-09-15,2025-09-21,5,55,3,2,2,Yes,39249,2,No,Chennai
E1083,Employee_84,Female,40,Operations,Supervisor,MBA,2018-03-13,2025-09-15,2025-09-21,4,41,5,4,1,Yes,40386,4,Yes,Bangalore
E1084,Employee_85,Male,41,Operations,Operations Executive,Post-Graduate,2019-11-01,2025-09-15,2025-09-21,6,53,2,2,0,Yes,58944,1,No,Mumbai
E1085,Employee_86,Male,45,HR,HR Executive,Graduate,2019-03-05,2025-09-15,2025-09-21,6,31,3,2,0,Yes,39404,3,No,Pune
E1086,Employee_87,Male,29,Operations,Operations Executive,Diploma,2021-08-26,2025-09-15,2025-09-21,3,30,5,9,1,No,37354,5,Yes,Indore
E1087,Employee_88,Female,39,IT,Support Engineer,Diploma,2019-12-08,2025-09-15,2025-09-21,4,32,2,9,0,No,41607,2,Yes,Pune
E1088,Employee_89,Male,44,Operations,Supervisor,Diploma,2023-05-11,2025-09-15,2025-09-21,5,33,3,10,0,Yes,62974,2,No,Bangalore
E1089,Employee_90,Male,47,Sales,Sales Manager,MBA,2024-09-19,2025-09-15,2025-09-21,3,45,5,8,0,No,38184,2,No,Delhi
E1090,Employee_91,Male,46,HR,HR Executive,Diploma,2022-01-16,2025-09-15,2025-09-21,5,35,5,7,0,No,26236,2,No,Delhi
E1091,Employee_92,Male,45,Operations,Operations Executive,Diploma,2019-10-26,2025-09-15,2025-09-21,3,43,2,8,0,Yes,76491,4,Yes,Bangalore
E1092,Employee_93,Male,30,IT,Software Engineer,MBA,2019-08-10,2025-09-15,2025-09-21,3,46,4,0,1,No,54135,1,Yes,Hyderabad
E1093,Employee_94,Female,29,Finance,Finance Analyst,Post-Graduate,2023-08-26,2025-09-15,2025-09-21,3,38,5,1,2,No,62422,1,Yes,Mumbai
E1094,Employee_95,Male,32,HR,HR Executive,Graduate,2022-02-21,2025-09-15,2025-09-21,6,48,3,0,2,Yes,50053,3,Yes,Mumbai
E1095,Employee_96,Female,40,Operations,Operations Executive,Graduate,2019-10-27,2025-09-15,2025-09-21,6,54,1,8,1,Yes,82623,2,No,Mumbai
E1096,Employee_97,Male,41,HR,HR Manager,Diploma,2019-11-09,2025-09-15,2025-09-21,4,33,4,8,2,No,32893,5,Yes,Delhi
E1097,Employee_98,Female,23,Admin,Admin Executive,Post-Graduate,2023-09-26,2025-09-15,2025-09-21,5,32,4,10,0,Yes,36523,5,No,Pune
E1098,Employee_99,Male,38,Operations,Supervisor,Graduate,2018-12-01,2025-09-15,2025-09-21,6,38,3,3,2,Yes,74748,3,Yes,Indore
E1099,Employee_100,Male,32,Operations,Operations Executive,Graduate,2019-12-19,2025-09-15,2025-09-21,5,42,4,3,2,No,26259,4,Yes,Bangalore
E1100,Employee_101,Female,37,Finance,Accountant,Graduate,2022-08-11,2025-09-15,2025-09-21,3,40,3,5,0,No,32881,4,No,Pune
E1101,Employee_102,Male,32,Sales,Sales Manager,Post-Graduate,2022-05-23,2025-09-15,2025-09-21,5,40,3,6,2,Yes,85452,1,No,Indore
E1102,Employee_103,Female,34,HR,HR Executive,MBA,2023-03-29,2025-09-15,2025-09-21,6,32,2,9,2,Yes,61530,5,Yes,Mumbai
E1103,Employee_104,Female,38,Marketing,Marketing Analyst,Post-Graduate,2023-08-12,2025-09-15,2025-09-21,3,40,4,7,2,Yes,46159,4,Yes,Hyderabad
E1104,Employee_105,Male,30,Admin,Admin Executive,Graduate,2024-02-09,2025-09-15,2025-09-21,4,37,2,3,1,No,63940,2,No,Delhi
E1105,Employee_106,Male,40,Operations,Supervisor,Diploma,2018-12-28,2025-09-15,2025-09-21,3,31,3,3,2,Yes,33625,2,Yes,Bangalore
E1106,Employee_107,Male,40,Sales,Sales Manager,Graduate,2018-09-27,2025-09-15,2025-09-21,6,47,1,9,1,Yes,48054,2,No,Indore
E1107,Employee_108,Female,22,Sales,Sales Executive,MBA,2018-03-20,2025-09-15,2025-09-21,4,44,3,4,0,No,67940,2,Yes,Bangalore
E1108,Employee_109,Female,43,Sales,Sales Executive,MBA,2018-10-23,2025-09-15,2025-09-21,6,55,5,9,1,No,80138,4,No,Indore
E1109,Employee_110,Female,26,Sales,Sales Executive,MBA,2020-03-12,2025-09-15,2025-09-21,4,50,5,4,1,No,76844,4,Yes,Chennai
E1110,Employee_111,Male,25,HR,HR Manager,MBA,2018-08-29,2025-09-15,2025-09-21,4,36,4,5,2,Yes,68982,3,No,Indore
E1111,Employee_112,Female,32,Operations,Operations Executive,Graduate,2018-09-18,2025-09-15,2025-09-21,5,46,3,1,1,Yes,48479,4,No,Bangalore
E1112,Employee_113,Female,22,HR,HR Manager,Post-Graduate,2020-04-30,2025-09-15,2025-09-21,3,44,2,3,2,Yes,62528,1,No,Pune
E1113,Employee_114,Female,33,Operations,Supervisor,MBA,2019-05-24,2025-09-15,2025-09-21,6,31,1,9,2,Yes,67982,1,Yes,Delhi
E1114,Employee_115,Male,50,Marketing,Marketing Analyst,Graduate,2024-05-14,2025-09-15,2025-09-21,5,42,5,8,0,No,43581,3,No,Mumbai
E1115,Employee_116,Male,22,Sales,Sales Executive,Post-Graduate,2024-03-09,2025-09-15,2025-09-21,5,32,5,7,1,No,31602,5,Yes,Hyderabad
E1116,Employee_117,Male,42,Admin,Admin Executive,MBA,2022-11-27,2025-09-15,2025-09-21,3,37,2,9,1,Yes,69051,3,Yes,Hyderabad
E1117,Employee_118,Male,35,Admin,Office Assistant,Diploma,2020-01-07,2025-09-15,2025-09-21,6,38,5,9,0,Yes,40996,5,No,Chennai
E1118,Employee_119,Female,49,Sales,Sales Manager,Graduate,2022-06-20,2025-09-15,2025-09-21,3,42,2,10,0,Yes,73402,3,No,Delhi
E1119,Employee_120,Female,46,IT,Support Engineer,Diploma,2022-06-17,2025-09-15,2025-09-21,5,49,5,7,0,No,81783,3,No,Delhi
E1120,Employee_121,Male,32,Finance,Finance Analyst,Graduate,2024-05-31,2025-09-15,2025-09-21,6,49,1,4,2,Yes,34505,2,No,Chennai
E1121,Employee_122,Female,39,Sales,Sales Executive,Graduate,2023-10-03,2025-09-15,2025-09-21,5,45,5,5,1,No,25927,1,No,Mumbai
E1122,Employee_123,Male,48,Operations,Operations Executive,MBA,2019-12-10,2025-09-15,2025-09-21,6,39,4,0,1,Yes,56724,2,No,Chennai
E1123,Employee_124,Female,30,Sales,Sales Executive,Diploma,2022-08-23,2025-09-15,2025-09-21,3,35,3,5,1,Yes,84608,3,Yes,Chennai
E1124,Employee_125,Female,47,IT,Support Engineer,MBA,2020-11-17,2025-09-15,2025-09-21,5,55,4,2,0,No,87646,5,Yes,Bangalore
E1000,Employee_126,Male,26,Finance,Accountant,Graduate,2020-02-23,2025-09-22,2025-09-28,6,33,1,3,0,No,54359,5,Yes,Indore
E1001,Employee_127,Female,46,Marketing,Brand Executive,Diploma,2019-06-08,2025-09-22,2025-09-28,5,53,4,3,0,No,73388,3,Yes,Indore
E1002,Employee_128,Male,44,Sales,Sales Manager,Diploma,2023-02-25,2025-09-22,2025-09-28,3,45,5,10,1,Yes,74156,5,No,Delhi
E1003,Employee_129,Female,27,IT,Data Analyst,Diploma,2023-09-07,2025-09-22,2025-09-28,4,30,2,10,0,Yes,69054,5,No,Mumbai
E1004,Employee_130,Male,41,Admin,Office Assistant,Graduate,2024-05-04,2025-09-22,2025-09-28,4,54,5,4,1,No,38696,2,No,Hyderabad
E1005,Employee_131,Female,38,Marketing,Marketing Analyst,Diploma,2018-07-05,2025-09-22,2025-09-28,5,54,1,8,1,No,44114,3,No,Indore
E1006,Employee_132,Male,41,Admin,Admin Executive,Diploma,2018-01-04,2025-09-22,2025-09-28,4,49,3,9,2,No,68699,2,No,Indore
E1007,Employee_133,Female,45,Finance,Finance Analyst,Post-Graduate,2022-06-05,2025-09-22,2025-09-28,6,38,2,8,2,Yes,84756,1,No,Hyderabad
E1008,Employee_134,Male,48,Finance,Accountant,Graduate,2018-06-08,2025-09-22,2025-09-28,4,37,1,4,0,Yes,83519,5,No,Indore
E1009,Employee_135,Male,39,HR,HR Manager,Graduate,2024-10-28,2025-09-22,2025-09-28,3,40,1,9,0,No,50434,1,Yes,Delhi
E1010,Employee_136,Male,39,Admin,Admin Executive,Post-Graduate,2021-01-05,2025-09-22,2025-09-28,4,46,5,8,1,Yes,79734,5,Yes,Bangalore
E1011,Employee_137,Male,36,HR,HR Manager,MBA,2020-11-17,2025-09-22,2025-09-28,4,36,1,2,1,No,77333,5,No,Hyderabad
E1012,Employee_138,Female,22,HR,HR Manager,Diploma,2020-11-06,2025-09-22,2025-09-28,6,33,2,8,1,No,45111,2,Yes,Bangalore
E1013,Employee_139,Male,45,Operations,Supervisor,Post-Graduate,2024-09-21,2025-09-22,2025-09-28,4,49,5,4,0,Yes,54477,3,No,Hyderabad
E1014,Employee_140,Male,23,Finance,Accountant,Diploma,2020-02-23,2025-09-22,2025-09-28,3,47,1,9,0,No,88984,3,Yes,Hyderabad
E1015,Employee_141,Female,37,HR,HR Executive,Diploma,2018-09-03,2025-09-22,2025-09-28,3,41,4,2,2,No,73517,4,No,Chennai
E1016,Employee_142,Male,49,HR,HR Manager,Post-Graduate,2022-04-17,2025-09-22,2025-09-28,5,54,3,8,0,No,88230,1,No,Indore
E1017,Employee_143,Male,24,IT,Data Analyst,MBA,2018-10-26,2025-09-22,2025-09-28,5,35,5,5,1,Yes,71224,3,No,Delhi
E1018,Employee_144,Female,30,Operations,Supervisor,Graduate,2024-02-02,2025-09-22,2025-09-28,5,44,1,5,2,Yes,36899,5,No,Bangalore
E1019,Employee_145,Female,26,HR,HR Executive,MBA,2020-04-07,2025-09-22,2025-09-28,4,34,3,1,0,No,63337,4,Yes,Pune
E1020,Employee_146,Female,27,HR,HR Manager,Diploma,2023-02-19,2025-09-22,2025-09-28,4,47,4,2,0,No,38910,2,No,Hyderabad
E1021,Employee_147,Male,33,IT,Software Engineer,Graduate,2020-08-27,2025-09-22,2025-09-28,6,53,1,0,2,No,29496,5,No,Chennai
E1022,Employee_148,Female,50,Finance,Finance Analyst,Graduate,2024-09-18,2025-09-22,2025-09-28,3,47,4,10,2,Yes,41962,3,No,Mumbai
E1023,Employee_149,Female,43,Marketing,Brand Executive,MBA,2021-04-29,2025-09-22,2025-09-28,5,53,2,3,0,Yes,55186,5,No,Delhi
E1024,Employee_150,Female,31,Marketing,Brand Executive,Diploma,2021-09-30,2025-09-22,2025-09-28,5,33,3,5,0,Yes,47074,4,No,Hyderabad
E1025,Employee_151,Female,32,Marketing,Marketing Analyst,Graduate,2021-04-26,2025-09-22,2025-09-28,3,38,4,5,2,Yes,51648,2,Yes,Mumbai
E1026,Employee_152,Male,34,Admin,Office Assistant,Diploma,2019-06-10,2025-09-22,2025-09-28,6,44,3,2,2,No,69039,4,No,Bangalore
E1027,Employee_153,Male,49,Operations,Supervisor,Diploma,2020-05-20,2025-09-22,2025-09-28,6,51,1,8,2,Yes,25102,4,No,Indore
E1028,Employee_154,Male,45,Admin,Admin Executive,Post-Graduate,2022-09-26,2025-09-22,2025-09-28,4,36,2,4,0,No,25438,2,No,Chennai
E1029,Employee_155,Male,22,Sales,Sales Executive,MBA,2018-04-07,2025-09-22,2025-09-28,3,47,2,5,2,Yes,44514,5,Yes,Pune
E1030,Employee_156,Male,34,Admin,Admin Executive,MBA,2018-03-08,2025-09-22,2025-09-28,4,35,5,8,1,No,44886,3,Yes,Pune
E1031,Employee_157,Male,41,Admin,Office Assistant,Diploma,2019-06-29,2025-09-22,2025-09-28,6,55,2,1,2,Yes,66097,5,Yes,Mumbai
E1032,Employee_158,Female,42,IT,Support Engineer,MBA,2018-01-01,2025-09-22,2025-09-28,5,44,1,0,1,Yes,33794,3,No,Pune
E1033,Employee_159,Female,36,Operations,Operations Executive,Diploma,2024-08-02,2025-09-22,2025-09-28,4,41,5,7,1,Yes,76978,5,Yes,Pune
E1034,Employee_160,Female,30,Sales,Sales Manager,MBA,2022-12-02,2025-09-22,2025-09-28,6,50,2,4,1,No,55024,4,No,Delhi
E1035,Employee_161,Female,23,Finance,Accountant,Graduate,2020-07-13,2025-09-22,2025-09-28,5,37,5,10,2,Yes,68514,5,Yes,Hyderabad
E1036,Employee_162,Male,41,HR,HR Manager,MBA,2024-03-23,2025-09-22,2025-09-28,4,49,1,6,0,No,64806,1,No,Mumbai
E1037,Employee_163,Female,23,Marketing,Brand Executive,Graduate,2020-11-14,2025-09-22,2025-09-28,3,55,3,0,1,Yes,57201,2,Yes,Mumbai
E1038,Employee_164,Male,30,Marketing,Marketing Analyst,Diploma,2021-04-29,2025-09-22,2025-09-28,6,51,4,8,0,No,56475,4,No,Mumbai
E1039,Employee_165,Male,30,Operations,Supervisor,Diploma,2021-03-11,2025-09-22,2025-09-28,5,48,2,8,1,Yes,31870,1,No,Pune
E1040,Employee_166,Male,42,IT,Software Engineer,Post-Graduate,2022-11-15,2025-09-22,2025-09-28,6,31,2,4,1,Yes,76350,3,No,Pune
E1041,Employee_167,Female,38,Operations,Operations Executive,Diploma,2018-02-02,2025-09-22,2025-09-28,3,47,1,10,1,No,65062,1,Yes,Mumbai
E1042,Employee_168,Male,40,Marketing,Marketing Analyst,Post-Graduate,2019-08-25,2025-09-22,2025-09-28,6,42,3,10,2,Yes,50288,5,Yes,Bangalore
E1043,Employee_169,Female,45,IT,Software Engineer,Post-Graduate,2018-06-16,2025-09-22,2025-09-28,5,54,5,9,2,No,62526,1,No,Chennai
E1044,Employee_170,Female,45,Sales,Sales Manager,Graduate,2024-01-19,2025-09-22,2025-09-28,4,46,3,10,2,No,80168,5,Yes,Pune
E1045,Employee_171,Male,39,IT,Support Engineer,Graduate,2019-02-20,2025-09-22,2025-09-28,4,53,1,1,2,No,56676,4,Yes,Hyderabad
E1046,Employee_172,Male,26,IT,Support Engineer,MBA,2019-03-30,2025-09-22,2025-09-28,6,47,1,6,1,Yes,33534,1,No,Pune
E1047,Employee_173,Female,43,Marketing,Marketing Analyst,Diploma,2024-07-19,2025-09-22,2025-09-28,3,35,3,9,0,No,60145,4,No,Indore
E1048,Employee_174,Female,29,HR,HR Executive,Diploma,2018-02-07,2025-09-22,2025-09-28,4,38,1,5,0,No,50977,4,No,Hyderabad
E1049,Employee_175,Female,23,Sales,Sales Executive,Post-Graduate,2023-11-15,2025-09-22,2025-09-28,4,55,1,5,1,Yes,41841,4,Yes,Indore
